100.0	64.0	128.0	109.21	3.78
100.0	512.0	128.0	106.21	2.73
100.0	1024.0	128.0	117.08	4.0
100.0	2048.0	128.0	105.91	2.19
100.0	65536.0	64.0	95.01	4.08
100.0	64.0	2048.0	125.62	7.32
100.0	512.0	2048.0	127.19	2.83
100.0	1024.0	2048.0	116.38	4.21
100.0	2048.0	2048.0	106.03	1.9
100.0	512.0	64.0	112.22	4.15
100.0	512.0	128.0	102.99	2.28
100.0	512.0	512.0	90.62	4.06
100.0	512.0	1024.0	110.76	1.42
100.0	512.0	2048.0	130.56	2.19
10.0	512.0	128.0	157.93	1.91
50.0	512.0	128.0	125.03	1.13
100.0	512.0	128.0	113.13	4.29
10.0	512.0	2048.0	137.33	1.03
50.0	512.0	2048.0	106.8	0.46
100.0	512.0	2048.0	97.4	3.93
