100.0	64.0	128.0	111.14	0.18
100.0	512.0	128.0	113.57	0.15
100.0	1024.0	128.0	114.39	0.06
100.0	2048.0	128.0	106.32	0.39
100.0	65536.0	64.0	1169.31	16.22
100.0	64.0	2048.0	133.29	0.13
100.0	512.0	2048.0	125.7	0.12
100.0	1024.0	2048.0	112.66	0.08
100.0	2048.0	2048.0	105.1	0.04
100.0	512.0	64.0	110.81	0.1
100.0	512.0	128.0	101.23	1.72
100.0	512.0	512.0	106.22	0.85
100.0	512.0	1024.0	133.01	1.74
100.0	512.0	2048.0	128.91	0.03
10.0	512.0	128.0	124.31	0.25
50.0	512.0	128.0	123.64	0.07
100.0	512.0	128.0	111.63	0.17
10.0	512.0	2048.0	106.82	0.41
50.0	512.0	2048.0	106.21	0.1
100.0	512.0	2048.0	94.51	0.05
