10240,65536,134217728,0,1
10240,65536,134217728,1,0
10240,524288,134217728,0,1
10240,524288,134217728,1,0
10240,1048576,134217728,0,1
10240,1048576,134217728,1,0
10240,2097152,134217728,0,1
10240,2097152,134217728,1,0
10240,67108864,67108864,0,1
10240,67108864,67108864,1,0
10240,65536,2147483648,0,1
10240,65536,2147483648,1,0
10240,524288,2147483648,0,1
10240,524288,2147483648,1,0
10240,1048576,2147483648,0,1
10240,1048576,2147483648,1,0
10240,2097152,2147483648,0,1
10240,2097152,2147483648,1,0
10240,524288,67108864,0,1
10240,524288,67108864,1,0
10240,524288,134217728,0,1
10240,524288,134217728,1,0
10240,524288,536870912,0,1
10240,524288,536870912,1,0
10240,524288,1073741824,0,1
10240,524288,1073741824,1,0
10240,524288,2147483648,0,1
10240,524288,2147483648,1,0
10240,524288,134217728,0,1
10240,524288,134217728,1,0
10240,524288,134217728,0,1
10240,524288,134217728,1,0
102400,524288,134217728,0,1
102400,524288,134217728,1,0
10240,524288,2147483648,0,1
10240,524288,2147483648,1,0
51200,524288,2147483648,0,1
51200,524288,2147483648,1,0
102400,524288,2147483648,0,1
102400,524288,2147483648,1,0  
