51200,65536,104857600
51200,524288,104857600
51200,1048576,104857600
51200,2097152,104857600
51200,65536,2147483648
51200,524288,2147483648
51200,1048576,2147483648
51200,2097152,2147483648
51200,524288,10485760
51200,524288,104857600
51200,524288,209715200
51200,524288,314572800
51200,524288,524288000
51200,524288,1073741824
51200,524288,2147483648
10240,524288,104857600
51200,524288,104857600
102400,524288,104857600
10240,524288,2147483648
51200,524288,2147483648
102400,524288,2147483648
