50.0,64.0,128.0,97.626583
50.0,512.0,128.0,98.712206
50.0,1024.0,128.0,96.437538
50.0,2048.0,128.0,96.657122
50.0,65536.0,64.0,109.026221
50.0,64.0,2048.0,95.189039
50.0,512.0,2048.0,103.989622
50.0,1024.0,2048.0,116.457315
50.0,2048.0,2048.0,115.914423
50.0,512.0,64.0,112.255710
50.0,512.0,128.0,110.881530
50.0,512.0,512.0,109.170504
50.0,512.0,1024.0,108.032246
50.0,512.0,2048.0,108.047784
10.0,512.0,128.0,132.247019
50.0,512.0,128.0,105.106165
100.0,512.0,128.0,99.734531
10.0,512.0,2048.0,126.966754
50.0,512.0,2048.0,101.562480
100.0,512.0,2048.0,95.693614
