50.0,64.0,128.0,112.624625
50.0,512.0,128.0,114.094227
50.0,1024.0,128.0,113.929417
50.0,2048.0,128.0,110.663035
50.0,65536.0,64.0,8492.445041
50.0,64.0,2048.0,113.928995
50.0,512.0,2048.0,122.270363
50.0,1024.0,2048.0,131.758072
50.0,2048.0,2048.0,128.617520
50.0,512.0,64.0,125.982126
50.0,512.0,128.0,124.700726
50.0,512.0,512.0,125.062317
50.0,512.0,1024.0,120.040452
50.0,512.0,2048.0,123.748980
10.0,512.0,128.0,159.086300
50.0,512.0,128.0,117.795283
100.0,512.0,128.0,118.704673
10.0,512.0,2048.0,205.148083
50.0,512.0,2048.0,117.317112
100.0,512.0,2048.0,116.101341
